Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sale Price,Opening Stock,Barcode,Discount Type,Discount
Crispo Chips,NA,,,pc,50,Local,,12,NA 0%,0.00,Inclusive,15,64,,,
Pran up -1 Litter,NA,,,pc,50,Local,,46.67,NA 0%,0.00,Inclusive,60,0,,,
Primiam Gluko,NA,,,pc,50,Local,,8.67,NA 0%,0.00,Inclusive,10,18,,,
Cuki Alaci,NA,,,pc,50,Local,,16.67,NA 0%,0.00,Inclusive,20,0,,,
Anargi Biskut,NA,,,pc,50,Local,,16.67,NA 0%,0.00,Inclusive,20,0,,,
Fundda,NA,,,pc,50,Local,,8,NA 0%,0.00,Inclusive,10,15,,,
Glukos,NA,,,pc,50,Local,,140,NA 0%,0.00,Inclusive,160,5,,,
Coffee coklet,NA,,,pc,50,Local,,260,NA 0%,0.00,Inclusive,300,200,,,
Royel ,NA,,,pc,50,Local,,126,NA 0%,0.00,Inclusive,140,0,,,
Banson,NA,,,pc,50,Local,,372,NA 0%,0.00,Inclusive,400,0,,,
Lucky,NA,,,pc,50,Local,,216,NA 0%,0.00,Inclusive,240,0,,,
Goldif,NA,,,pc,50,Local,,287,NA 0%,0.00,Inclusive,300,0,,,
Oris,NA,,,pc,50,Local,,185,NA 0%,0.00,Inclusive,200,0,,,
Muri 500g,NA,,,pc,50,Local,,48.5,NA 0%,0.00,Inclusive,60,0,,,
 Cockis Biskut,NA,,,pc,50,Local,,16.75,NA 0%,0.00,Inclusive,20,0,,,
Anergi Mali Cream,NA,,,pc,50,Local,,8.59,NA 0%,0.00,Inclusive,10,0,,,
Coklet Cream,NA,,,pc,50,Local,,8.66,NA 0%,0.00,Inclusive,10,6,,,
Pinapple Cream,NA,,,pc,50,Local,,8.66,NA 0%,0.00,Inclusive,10,0,,,
Coco Nat Pluse,NA,,,pc,50,Local,,8.66,NA 0%,0.00,Inclusive,10,15,,,
Gi But,NA,,,pc,50,Local,,42,NA 0%,0.00,Inclusive,50,0,,,
Luxus Mini ,NA,,,pc,50,Local,,4.16,NA 0%,0.00,Inclusive,5,0,,,
Dariy Cake,NA,,,pc,50,Local,,8.67,NA 0%,0.00,Inclusive,10,48,,,
Vlight Cap Cake,NA,,,pc,50,Local,,7.92,NA 0%,0.00,Inclusive,10,23,,,
Pillow Pillow,NA,,,pc,50,Local,,12,NA 0%,0.00,Inclusive,15,49,,,
Poteto Chips,NA,,,pc,50,Local,,7.75,NA 0%,0.00,Inclusive,10,28,,,
Ruci Canacur Mini,NA,,,pc,50,Local,,8.75,NA 0%,0.00,Inclusive,10,0,,,
Ruci Canacur 300g,NA,,,pc,50,Local,,86.5,NA 0%,0.00,Inclusive,100,0,,,
Ruci BBQ 300g,NA,,,pc,50,Local,,86.5,NA 0%,0.00,Inclusive,100,0,,,
Ruci BBQ 22g,NA,,,pc,50,Local,,8.75,NA 0%,0.00,Inclusive,10,53,,,
Ruci BBQ 150g,NA,,,pc,50,Local,,43,NA 0%,0.00,Inclusive,50,24,,,
Ruci Poteto ,NA,,,pc,50,Local,,8.5,NA 0%,0.00,Inclusive,10,82,,,
Ruci Poteto Thi,NA,,,pc,50,Local,,8.5,NA 0%,0.00,Inclusive,10,75,,,
Tetul Chatni,NA,,,pc,50,Local,,4.15,NA 0%,0.00,Inclusive,5,155,,,
Sos,NA,,,pc,50,Local,,2.2,NA 0%,0.00,Inclusive,3,0,,,
Mojo ,NA,,,pc,50,Local,,18.54,NA 0%,0.00,Inclusive,20,100,,,
Royel ,NA,,,pc,50,Local,,125,NA 0%,0.00,Inclusive,140,0,,,
LUcky,NA,,,pc,50,Local,,215,NA 0%,0.00,Inclusive,240,0,,,
Benson,NA,,,pc,50,Local,,368,NA 0%,0.00,Inclusive,400,0,,,
Premiam Gluko,NA,,,pc,50,Local,,8.66,NA 0%,0.00,Inclusive,10,30,,,
Biskut Cuki Alaci,NA,,,pc,50,Local,,16.75,NA 0%,0.00,Inclusive,20,48,,,
Mega Anergi,NA,,,pc,50,Local,,16.75,NA 0%,0.00,Inclusive,20,46,,,
Choklet Cream,NA,,,pc,50,Local,,8.58,NA 0%,0.00,Inclusive,10,9,,,
Pinapple Cream,NA,,,pc,50,Local,,8.58,NA 0%,0.00,Inclusive,10,33,,,
Gi But,NA,,,pc,50,Local,,8.66,NA 0%,0.00,Inclusive,10,31,,,
Coco Nat Pluse,NA,,,pc,50,Local,,8.66,NA 0%,0.00,Inclusive,10,29,,,
Fast Choece,NA,,,pc,50,Local,,16.83,NA 0%,0.00,Inclusive,20,28,,,
Gi But,NA,,,pc,50,Local,,42,NA 0%,0.00,Inclusive,50,8,,,
Mojadar,NA,,,pc,50,Local,,42,NA 0%,0.00,Inclusive,50,8,,,
Biskut Cuki,NA,,,pc,50,Local,,42,NA 0%,0.00,Inclusive,50,6,,,
Olino,NA,,,pc,50,Local,,4,NA 0%,0.00,Inclusive,5,124,,,
Muri 500g,NA,,,pc,50,Local,,48.5,NA 0%,0.00,Inclusive,60,0,,,
Muri 200g,NA,,,pc,50,Local,,25,NA 0%,0.00,Inclusive,30,0,,,
Sena Pani 500ml,NA,,,pc,50,Local,,9,NA 0%,0.00,Inclusive,15,0,,,
Oris,NA,,,pc,50,Local,,185,NA 0%,0.00,Inclusive,200,36,,,
Moond,NA,,,pc,50,Local,,125,NA 0%,0.00,Inclusive,140,0,,,
Pata sos,NA,,,pc,50,Local,,2.28,NA 0%,0.00,Inclusive,3,825,,,
Mam Pani,NA,,,pc,50,Local,,32.5,NA 0%,0.00,Inclusive,38,4,,,
Paluse,NA,,,pc,50,Local,,310,NA 0%,0.00,Inclusive,350,2,,,
Royel ,NA,,,pc,50,Local,,125,NA 0%,0.00,Inclusive,140,14,,,
Lucky,NA,,,pc,50,Local,,215,NA 0%,0.00,Inclusive,240,14,,,
Goldlif,NA,,,pc,50,Local,,280,NA 0%,0.00,Inclusive,300,6,,,
Benson,NA,,,pc,50,Local,,370,NA 0%,0.00,Inclusive,400,6,,,
Panmosola,NA,,,pc,50,Local,,4.8,NA 0%,0.00,Inclusive,5,0,,,
Mojo 250ml,NA,,,pc,50,Local,,18.54,NA 0%,0.00,Inclusive,20,0,,,
Turbo,NA,,,pc,50,Local,,25.83,NA 0%,0.00,Inclusive,30,40,,,
Akij Mengo,NA,,,pc,50,Local,,16.66,NA 0%,0.00,Inclusive,20,39,,,
