Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock
Savlon Cream 30 g,Cosmetic Item,,,pcs,,Local,,26.00,NA,0,Inclusive,30.00,164
Water 350 ml,Drink,,,pcs,,Local,,8.50,NA,0,Inclusive,10.00,288
Fog Body Spray,Cosmetic Item,,,pcs,,Local,,280.00,NA,0,Inclusive,310.00,4
Close UP 100 g,Cosmetic Item,,,pcs,,Local,,98.00,NA,0,Inclusive,110.00,4
Move Spray,Cosmetic Item,,,pcs,,Local,,260.00,NA,0,Inclusive,280.00,3
Mark Three Blade,Cosmetic Item,,,pcs,,Local,,240.00,NA,0,Inclusive,260.00,1
Automas Cream,Cosmetic Item,,,pcs,,Local,,127.00,NA,0,Inclusive,140.00,26
Dr Rajes Automas Cream,Cosmetic Item,,,pcs,,Local,,92.00,NA,0,Inclusive,100.00,4
Gillet Jel Big,Cosmetic Item,,,pcs,,Local,,370.00,NA,0,Inclusive,400.00,1
VIP Jainamaz,Cosmetic Item,,,pcs,,Local,,500.00,NA,0,Inclusive,550.00,1
Mediplus Big,Cosmetic Item,,,pcs,,Local,,77.00,NA,0,Inclusive,85.00,5
Wheel Powder 200 g,Cosmetic Item,,,pcs,,Local,,28.00,NA,0,Inclusive,30.00,10
Ring Powder200 g,Cosmetic Item,,,pcs,,Local,,37.00,NA,0,Inclusive,40.00,79
Tibbat Saban 570,Cosmetic Item,,,pcs,,Local,,22.00,NA,0,Inclusive,25.00,57
Dry Cake,Cosmetic Item,,,pcs,,Local,,8.33,NA,0,Inclusive,10.00,101
Nughty Biscute,Cosmetic Item,,,pcs,,Local,,13.33,NA,0,Inclusive,15.00,56
Potata Biscute,Cosmetic Item,,,pcs,,Local,,18.00,NA,0,Inclusive,20.00,48
Choice Biscute,Cosmetic Item,,,pcs,,Local,,18.00,NA,0,Inclusive,20.00,20
Chycle Bag,Cosmetic Item,,,pcs,,Local,,420.00,NA,0,Inclusive,465.00,6
