Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sale Price,Opening Stock,Barcode,Discount Type,Discount
Gel Pen,NA,,,pc ,50,Local,,8.64,NA 0%,0.00,Inclusive,10,0,,Percentage,0
Still Scale,NA,,,pc ,50,Local,,20.33,NA 0%,0.00,Inclusive,25,0,,Percentage,0
Butam,NA,,,pc ,50,Local,,5,NA 0%,0.00,Inclusive,8,43,,Percentage,0
Chirone,NA,,,pc ,50,Local,,3,NA 0%,0.00,Inclusive,5,20,,Percentage,0
Sui,NA,,,pc ,50,Local,,0.5,NA 0%,0.00,Inclusive,1,210,,Percentage,0
Bhoot ,NA,,,pc ,50,Local,,400,NA 0%,0.00,Inclusive,500,2,,Percentage,0
Topi (Namaz),NA,,,pc ,50,Local,,70,NA 0%,0.00,Inclusive,90,3,,Percentage,0
Kool Fom,NA,,,pc ,50,Local,,280,NA 0%,0.00,Inclusive,310,0,,Percentage,0
Huil Saban,NA,,,pc ,50,Local,,27,NA 0%,0.00,Inclusive,30,0,,Percentage,0
Setar Tupi,NA,,,pc ,50,Local,,135,NA 0%,0.00,Inclusive,150,3,,Percentage,0
After Shef Lotion,NA,,,pc ,50,Local,,170,NA 0%,0.00,Inclusive,190,7,,Percentage,0
Hand Wash Botol,NA,,,pc ,50,Local,,92.33,NA 0%,0.00,Inclusive,100,1,,Percentage,0
Aerosol,NA,,,pc ,50,Local,,300,NA 0%,0.00,Inclusive,330,2,,Percentage,0
Cap Bach Shar ,NA,,,pc ,50,Local,,32.33,NA 0%,0.00,Inclusive,35,6,,Percentage,0
Haff Pent Sevil,NA,,,pc ,50,Local,,75,NA 0%,0.00,Inclusive,85,16,,Percentage,0
Hure Gange,NA,,,pc ,50,Local,,330,NA 0%,0.00,Inclusive,360,1,,Percentage,0
Kostap Sada,NA,,,pc ,50,Local,,7.16,NA 0%,0.00,Inclusive,10,0,,Percentage,0
Trouger Sevil,NA,,,pc ,50,Local,,330,NA 0%,0.00,Inclusive,350,1,,Percentage,0
Gas Light ,NA,,,pc ,50,Local,,8,NA 0%,0.00,Inclusive,10,0,,Percentage,0
Clear Man Shompoo,NA,,,pc ,50,Local,,4.28,NA 0%,0.00,Inclusive,5,90,,Percentage,0
Fair And Lovely (male),NA,,,pc ,50,Local,,88.33,NA 0%,0.00,Inclusive,95,0,,Percentage,0
Pencil ,NA,,,pc ,50,Local,,7,NA 0%,0.00,Inclusive,10,0,,Percentage,0
Fair And Lovely (Female),NA,,,pc ,50,Local,,138,NA 0%,0.00,Inclusive,150,8,,Percentage,0
Fluid Pen,NA,,,pc ,50,Local,,24.4,NA 0%,0.00,Inclusive,30,0,,Percentage,0
