Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,DISCOUNT TYPE,DISCOUNT,
Attor,Cosmetic,,,pcs,,,,0.00,NA,0.00,Inclusive,0.00,0.00,,,,
Magic Powder,Cosmetic,,,pcs,,,,26.00,NA,0.00,Inclusive,30.00,2.00,,,,
Rubing net,Cosmetic,,,pcs,,,,25.00,NA,0.00,Inclusive,30.00,10.00,,,,
Vixsol,Cosmetic,,,pcs,,,,45.00,NA,0.00,Inclusive,55.00,15.00,,,,
cotton bird,Cosmetic,,,Packet,,,,3.00,NA,0.00,Inclusive,5.00,16.00,,,,
Harpic 500 gm,Cosmetic,,,pcs,,,,110.00,NA,0.00,Inclusive,120.00,14.00,,,,
Harpic 750 gm,Cosmetic,,,pcs,,,,143.00,NA,0.00,Inclusive,155.00,16.00,,,,
Mazone,Cosmetic,,,pcs,,,,15.00,NA,0.00,Inclusive,20.00,14.00,,,,
Gillete Guard,Cosmetic,,,pcs,,,,15.00,NA,0.00,Inclusive,16.00,224.00,,,,
Gillete Blade,Cosmetic,,,pcs,,,,13.75,NA,0.00,Inclusive,20.00,90.00,,,,
Gillete Grard Rezar,Cosmetic,,,pcs,,,,34.00,NA,0.00,Inclusive,38.00,161.00,,,,
Gillete Blue-3,Cosmetic,,,pcs,,,,48.00,NA,0.00,Inclusive,55.00,151.00,,,,
Glass Cleaner,Cosmetic,,,pcs,,,,125.00,NA,0.00,Inclusive,140.00,2.00,,,,
Arosol ACI,Cosmetic,,,pcs,,,,375.00,NA,0.00,Inclusive,400.00,8.00,,,,
Dampixer,Cosmetic,,,pcs,,,,60.00,NA,0.00,Inclusive,70.00,31.00,,,,
Phenyle,Cosmetic,,,pcs,,,,150.00,NA,0.00,Inclusive,170.00,1.00,,,,
Angelic Air Freshener-200,Cosmetic,,,pcs,,,,170.00,NA,0.00,Inclusive,200.00,4.00,,,,
Angelic Air Freshener-260,Cosmetic,,,pcs,,,,240.00,NA,0.00,Inclusive,260.00,4.00,,,,
Move ,Cosmetic,,,pcs,,,,145.00,NA,0.00,Inclusive,155.00,5.00,,,,
Meril Petrolem-50 gm,Cosmetic,,,pcs,,,,50.00,NA,0.00,Inclusive,55.00,17.00,,,,
colgate 192 gm,Cosmetic,,,pcs,,,,125.00,NA,0.00,Inclusive,140.00,19.00,,,,
colgate mini,Cosmetic,,,pcs,,,,20.00,NA,0.00,Inclusive,25.00,24.00,,,,
Schick Rezear,Cosmetic,,,pcs,,,,45.00,NA,0.00,Inclusive,50.00,93.00,,,,
Meril Revive Loation-100 gm,Cosmetic,,,pcs,,,,135.00,NA,0.00,Inclusive,150.00,24.00,,,,
Meril Revive Loation-200 gm,Cosmetic,,,pcs,,,,180.00,NA,0.00,Inclusive,200.00,24.00,,,,
Meril Lepjel Stick-40,Cosmetic,,,pcs,,,,35.00,NA,0.00,Inclusive,40.00,26.00,,,,
China Chep Stick-55,Cosmetic,,,pcs,,,,45.00,NA,0.00,Inclusive,55.00,6.00,,,,
Meril Lepjel Chep Stick-43,Cosmetic,,,pcs,,,,43.00,NA,0.00,Inclusive,50.00,26.00,,,,
Ponds Loation-100 gm,Cosmetic,,,pcs,,,,125.00,NA,0.00,Inclusive,140.00,24.00,,,,
Ponds Loation-200 gm,Cosmetic,,,pcs,,,,220.00,NA,0.00,Inclusive,240.00,12.00,,,,
Vaseline Loation 100 gm,Cosmetic,,,pcs,,,,140.00,NA,0.00,Inclusive,160.00,24.00,,,,
Vaseline Loation 200 gm,Cosmetic,,,pcs,,,,250.00,NA,0.00,Inclusive,270.00,12.00,,,,
ponds loation Mini,Cosmetic,,,pcs,,,,60.00,NA,0.00,Inclusive,65.00,12.00,,,,
Glycerin Mini,Cosmetic,,,pcs,,,,72.00,NA,0.00,Inclusive,80.00,24.00,,,,
Cute Mini,Cosmetic,,,pcs,,,,54.00,NA,0.00,Inclusive,60.00,12.00,,,,
Tibet Promet,Cosmetic,,,pcs,,,,64.00,NA,0.00,Inclusive,70.00,12.00,,,,
Vaseline Geli-15,Cosmetic,,,pcs,,,,13.00,NA,0.00,Inclusive,15.00,48.00,,,,
Odomos,Cosmetic,,,pcs,,,,115.00,NA,0.00,Inclusive,130.00,12.00,,,,
Fair & Lovely Big,Cosmetic,,,pcs,,,,145.00,NA,0.00,Inclusive,160.00,6.00,,,,
Fair & Lovely winter,Cosmetic,,,pcs,,,,155.00,NA,0.00,Inclusive,170.00,6.00,,,,
Nivea Body Spray,Cosmetic,,,pcs,,,,295.00,NA,0.00,Inclusive,320.00,6.00,,,,
Fogg Perfume-290,Cosmetic,,,pcs,,,,260.00,NA,0.00,Inclusive,290.00,6.00,,,,
Kobra Perfume,Cosmetic,,,pcs,,,,260.00,NA,0.00,Inclusive,300.00,6.00,,,,
Hadean Sholder Shampo,Cosmetic,,,pcs,,,,315.00,NA,0.00,Inclusive,380.00,6.00,,,,
sunsilk Pot Shampo Small,Cosmetic,,,pcs,,,,73.00,NA,0.00,Inclusive,80.00,6.00,,,,
Layer Shot,Cosmetic,,,pcs,,,,295.00,NA,0.00,Inclusive,320.00,4.00,,,,
Meril Vasline Small,Cosmetic,,,pcs,,,,22.00,NA,0.00,Inclusive,25.00,40.00,,,,
Metal Polish Small-1,Army Item,,,pcs,,,,155.00,NA,0.00,Inclusive,160.00,7.00,,,,
